id,code,name,level,track,group,focus,ok
,AUDIV009,Diseño y Marketing de Productos y Servicios   ,abierto,Ambas,Comunicación y Gestión del Diseño,Emprendimiento y Negocios,0
,AUDIV006,Diseño y Montaje de Exposiciones     ,abierto,Ambas,Morfología,Imagen y Lenguaje Visual,0
,AUD6I012,"Diseño y patrimonio, Técnicas artesanales     ",abierto,I y S,Morfología,Oficios y Cultura Material,0
,AUD6V019,Diseño y pensamiento crítico      ,abierto,V y M,Comunicación y Gestión del Diseño,Teoría y Crítica Cultural,0
,AUD6I013,Diseño y Sustentabilidad para la Economía Circular   ,abierto,I y S,Comunicación y Gestión del Diseño,Estrategia y Sostenibilidad,0
,AUD5V027,Diseño y visualización de información     ,troncal,V y M,Comunicación y Gestión del Diseño,Comunicación Visual Estratégica,1
,AUD7V013,"Diseño, afecto y género      ",abierto,V y M,Comunicación y Gestión del Diseño,Teoría y Crítica Cultural,0
,AUD6V024,Edición experimental y artes visuales     ,abierto,V y M,Morfología,Experimentación y Artes Visuales,0
,AUD6V022,Editar-diseñar-publicar. Discursos de la arquitectura     ,abierto,V y M,Comunicación y Gestión del Diseño,Gestión de Publicaciones,0
,AUD6V018,Educación tipográfica        ,abierto,V y M,Comunicación y Gestión del Diseño,Teoría y Crítica Cultural,0
,AUD7V014,El discurso del afiche político: estética y praxis  ,abierto,V y M,Comunicación y Gestión del Diseño,Teoría y Crítica Cultural,0
,AUD7I014,Emprendimiento basado en Diseño      ,abierto,I y S,Comunicación y Gestión del Diseño,Emprendimiento y Negocios,0
,AUDIV001,Emprendimiento y consultoría en diseño     ,abierto,Ambas,Comunicación y Gestión del Diseño,Emprendimiento y Negocios,0
,AUD7I022,Enfoques emergentes y sustentabilidad      ,abierto,I y S,Comunicación y Gestión del Diseño,Estrategia y Sostenibilidad,0
,AUD5I020,"Enfoques investigativos en Diseño, innovación y creatividad   ",abierto,V y M,Comunicación y Gestión del Diseño,Investigación y Metodología,0
,AUD5V020,"Enfoques investigativos en Diseño, innovación y creatividad   ",abierto,V y M,Comunicación y Gestión del Diseño,Investigación y Metodología,0
,AUDIV051,English for Work Purposes      ,abierto,Ambas,Comunicación y Gestión del Diseño,Comunicación Visual Estratégica,0
,AUDIV055,Entorno construido y bienestar      ,abierto,Ambas,Comunicación y Gestión del Diseño,Vinculación Territorial y Social,0
,AUD7I029,Ergonomía aplicada al diseño de vehículos    ,abierto,I y S,Ciencia y Tecnología,Biomecánica y Ergonomía Avanzada,0
,AUDIV037,Espacio público y ciudades saludables     ,abierto,Ambas,Comunicación y Gestión del Diseño,Vinculación Territorial y Social,0
,AUD6V016,Estética e industrias culturales      ,abierto,V y M,Comunicación y Gestión del Diseño,Gestión Cultural y de Industrias,0
,AUDIV019,Estrategias de Ecodiseño       ,abierto,Ambas,Comunicación y Gestión del Diseño,Estrategia y Sostenibilidad,0
,AUD7I020,"Estructuras, materiales compuestos y plásticos     ",abierto,I y S,Ciencia y Tecnología,Sistemas Constructivos y Estructuras,0
,ESPE22,Experiencia de usuario digital      ,abierto,—,Comunicación y Gestión del Diseño,Diseño de Servicios y Experiencia,0
,AUD7V015,Experimentación editorial        ,abierto,V y M,Morfología,Composición Editorial y Tipográfica,0
,AUD7I023,Experimentación textil orientada al upcycling     ,abierto,I y S,Morfología,Experimentación Material y Upcycling,0
,AUD5I019,Exploración creativa con los materiales y sus tecnologías  ,abierto,I y S,Ciencia y Tecnología,Laboratorio de Materiales y Oficios,0
,AUDIV053,Fundamentos de Diseño Digital      ,abierto,Ambas,Ciencia y Tecnología,Post-producción y Medios Digitales,0
,AUDIV049,Fundamentos de Economía       ,abierto,Ambas,Comunicación y Gestión del Diseño,Emprendimiento y Negocios,0
,AUD6V010,Fundamentos fotográficos        ,abierto,V y M,Morfología,Imagen y Lenguaje Visual,0
,AUD5I023,Gamificación para el Diseño industrial y servicios   ,abierto,I y S,Comunicación y Gestión del Diseño,Diseño de Servicios y Experiencia,0
,AUDIV041,Geografía feminista        ,abierto,Ambas,Comunicación y Gestión del Diseño,Teoría y Crítica Cultural,0
